title,artist,price,product_url,image_url
"""Exit Life"" Lil Peep Pullover Hoodie",HerrKoolS,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Exit-Life-Lil-Peep-by-HerrKoolS/68671038.XH4TF.XYZ,"https://ih1.redbubble.net/image.2052295660.1038/ssrco,mhoodie,womens,101010:01c5ca27c6,back,square_product,x600-bg,f8f8f8.1.jpg"
Dino Pullover Hoodie,Amy Rockett,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Dino-by-RockettMagic/21637947.JPPXM,"https://ih1.redbubble.net/image.210439630.7947/ssrco,mhoodie,mens,fafafa:ca443f4786,front,square_product,x600-bg,f8f8f8.1u3.jpg"
Athletics West Mid 80s Last Logo Pullover Sweatshirt,Athletics West,£27.56,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Athletics-West-Mid-80s-Last-Logo-by-ScaryTown/55338008.WY6W4,"https://ih1.redbubble.net/image.1605087852.8008/ra,sweatshirt,x1800,2649ab:cd93e31dd7,front-c,281,327,600,600-bg,f8f8f8.u1.jpg"
Beastars Pullover Sweatshirt,coolsocrati,£33.29,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Beastars-by-coolsocrati/40460189.LEP2X,"https://ih1.redbubble.net/image.883388371.0189/ra,sweatshirt,x1800,101010:01c5ca27c6,front-c,281,327,600,600-bg,f8f8f8.jpg"
Seymour's Organic Plant Food - musical theatre - vintage - cult movie Lightweight Hoodie,Nemons,£26.93,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Seymour-s-Organic-Plant-Food-musical-theatre-vintage-cult-movie-by-Nemons/17165825.O6XP1,"https://ih1.redbubble.net/image.114387125.5825/ssrco,lightweight_hoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.2.jpg"
Ballin Lightweight Sweatshirt,fashiony,£24.93,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Ballin-by-fashiony/36127475.0LCRC.XYZ,"https://ih1.redbubble.net/image.2657855052.7475/ssrco,lightweight_sweatshirt,womens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1u3.jpg"
Enderman Pullover Hoodie,mateusquandt,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Enderman-by-mateusquandt/17744813.YFBT8,"https://ih1.redbubble.net/image.1254861260.4813/ssrco,mhoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1u4.jpg"
Bb Dripping Moon Zipped Hoodie,ClaudineDijoux,£32.92,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Bb-Dripping-Moon-by-ClaudineDijoux/160006430.VHHY1,"https://ih1.redbubble.net/image.5499263052.6430/ssrco,mhoodiez,mens,heather_oatmeal,front,square_product,600x600-bg,f8f8f8.jpg"
Design (minimal) Zipped Hoodie,developer-gifts,£35.67,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Design-minimal-by-developer-gifts/33788488.BN4XF,"https://ih1.redbubble.net/image.634682232.8488/ssrco,mhoodiez,mens,101010:01c5ca27c6,front,square_product,600x600-bg,f8f8f8.u2.jpg"
Straight Outta Scranton - Lazy Scranton Lightweight Hoodie,huckblade,£29.17,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Straight-Outta-Scranton-Lazy-Scranton-by-huckblade/35449705.O6XP1,"https://ih1.redbubble.net/image.693669568.9705/ssrco,lightweight_hoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.2u5.jpg"
"Los Angeles, California Zipped Hoodie",Novel Gifts,£35.35,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Los-Angeles-California-by-Sarchia/53223199.BN4XF,"https://ih1.redbubble.net/image.1449324353.3199/ssrco,mhoodiez,mens,101010:01c5ca27c6,front,square_product,600x600-bg,f8f8f8.jpg"
Don't Forget Pullover Sweatshirt,Pacific-Axe,£25.28,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Don-t-Forget-by-Pacific-Axe/10301056.LZ09A,"https://ih1.redbubble.net/image.13931319.1056/ra,sweatshirt,x1800,fcfcfa:e7fde99dd4,back-c,281,327,600,600-bg,f8f8f8.u3.jpg"
Last Child Left - Lovelocked Pullover Sweatshirt,DigitalChildren,£27.56,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Last-Child-Left-Lovelocked-by-DigitalChildren/171226168.LEP2X,"https://ih1.redbubble.net/image.5850898568.6168/ra,sweatshirt,x1800,101010:01c5ca27c6,front-c,281,327,600,600-bg,f8f8f8.u1.jpg"
VLONE Pullover Sweatshirt,mbshopping,£27.56,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/VLONE-by-mbshopping/57145253.LEP2X,"https://ih1.redbubble.net/image.1638228058.5253/ra,sweatshirt,x1800,101010:01c5ca27c6,front-c,281,327,600,600-bg,f8f8f8.jpg"
Glass Animals ILYSFM Tour Graphic Band Colorful Lyric Tshirt Lightweight Hoodie,Ninefold,£28.04,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Glass-Animals-ILYSFM-Tour-Graphic-Band-Colorful-Lyric-Tshirt-by-swalcher/164576487.O6XP1.XYZ,"https://ih1.redbubble.net/image.5645179805.6487/ssrco,lightweight_hoodie,womens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1u1.jpg"
